,Acceso minusválidos,Metros,Agua caliente,provincia,Exterior,Número de terrazas,Calefacción,Garajes,Tipo de suelo,Año de construcción,Tipo de fachada,Permite mascotas,Ascensor,Metros útiles,Puerta de seguridad,Aire acondicionado,Trastero,Orientación,Antigüedad,Circuito cerrado de seguridad,Dormitorios,Baños,Amueblado,Precio,Cocina equipada,Estado,Cal. energética:,Comunidad,Piscina,Armarios,Alarma,Plantas,Zonas verdes,Pareado,Pisos,Individual,Pista de tenis,Conserje,Pista de fútbol,Adosado,Pista de baloncesto,Consumo,Inquilinos
0,Si,50,Individual,alicante,Si,,Individual,,Gres,,Cemento,Si,,40,,Si,,,Entre 35 y 50 Años,,1,1,Si,85000,Si,Perfecto Estado,,,,,,,,,,,,,,,,,
1,,64,Individual,alicante,Si,1,Eléctrica,,Gres,1968,Cemento,,,58,Si,,Si,Sureste,Más de 50 años,,3,1,,105000,,Perfecto Estado,Si,"30,00 €",,,,,,,,,,,,,,,
2,Si,100,Individual,alicante,Si,1,,,Baldosa,1985,Ladrillo,,Si,85,Si,Si,,Sur,Entre 35 y 50 Años,Si,3,1,Si,110000,Si,Perfecto Estado,,,Si,1,Si,,,,,,,,,,,,
3,,110,Individual,alicante,Si,2,,,Tarima Flotante,,Cemento,,Si,95,Si,,,Norte,,Si,3,1,Si,135000,Si,,,,,1,,,,,,,,,,,,,
4,,127,Individual,alicante,Si,1,,,Terrazo,1979,Ladrillo,,Si,105,Si,,,Este,Mas de 25 Años,,4,2,Si,157500,Si,A reformar,Si,"30,00 €",,,,3,,,,,,,,,,,
5,,84,Individual,alicante,Si,2,Individual,1,Gres,1993,Cemento,,,74,,,,Oeste,Entre 20 y 25 Años,,4,2,,168000,Si,Perfecto Estado,Si,,Si,3,,2,Si,Si,,,,,,,,,
6,Si,108,Individual,alicante,Si,1,Eléctrica,1,Terrazo,1977,Ladrillo,,Si,96,Si,Si,,Suroeste,Mas de 25 Años,,4,2,,170000,,Perfecto Estado,Si,"45,00 €",,,,7,,,2,,,,,,,,
7,Si,95,Gas natural,alicante,Si,1,,,Tarima Flotante,1967,Ladrillo,,Si,87,Si,Si,Si,Este,Entre 35 y 50 Años,Si,3,2,,199000,Si,Perfecto Estado,,"50,00 €",Si,2,,,Si,,,,,,,,,,
8,Si,90,Individual,alicante,Si,1,Eléctrica,1,Tarima Flotante,1998,Otros materiales,Si,Si,70,Si,Si,,Oeste,Entre 20 y 25 Años,Si,2,1,Si,199000,Si,,,,,2,Si,,,,,,,,,,,,
9,Si,100,,alicante,Si,,Central,,Gres,2010,Ladrillo,Si,Si,90,Si,Si,,Oeste,Entre 10 y 15 Años,,3,2,Si,214900,Si,Perfecto Estado,,,,1,,4,,,,,,,,,,,
10,Si,80,,alicante,Si,1,,1,Gres,2008,Cemento,,Si,75,Si,,,,Entre 15 y 20 Años,,2,1,Si,239900,Si,Perfecto Estado,,,,2,,,,,,,,,,,,,
11,,340,Individual,alicante,Si,2,Individual,4,Parquet,,Cemento,,,320,Si,Si,Si,,Entre 10 y 15 Años,Si,4,2,,335000,Si,Perfecto Estado,,,Si,4,Si,,,,,Si,,,,,,,
12,Si,580,,alicante,Si,,,4,Terrazo,,Cemento,,,500,Si,,Si,,,Si,11,4,Si,440000,Si,A reformar,,,,,,,Si,,,Si,,,,,,,
13,Si,145,Individual,alicante,Si,,Eléctrica,9,Porcelánico,1998,Cemento,Si,,115,Si,Si,Si,,Entre 20 y 25 Años,,3,2,Si,461000,Si,Perfecto Estado,,,Si,3,,,Si,,,Si,,,,,,,
14,Si,214,Gas natural,alicante,Si,1,Gas Natural,1,Porcelánico,1988,Ladrillo,,Si,196,Si,Si,Si,Oeste,Entre 25 y 35 años,,4,3,,499900,,Perfecto Estado,Si,"60,00 €",Si,3,,5,Si,,,,Si,Si,Si,Si,Si,,
15,,83,Individual,alicante,Si,2,,,Terrazo,1975,Cemento,,,74,,,,Este,Entre 35 y 50 Años,,3,1,,A consultar,,A reformar,Si,,,2,,1,,,1,,,,,,,1 KW h/m² año,
16,,446,Individual,alicante,Si,2,Individual,,Terrazo,1986,Cemento,,,350,Si,Si,Si,Este,Entre 35 y 50 Años,,5,3,,A consultar,Si,Perfecto Estado,Si,,Si,4,Si,3,Si,,,Si,,,,,,,
17,,105,Individual,alicante,Si,,,,Porcelánico,,,,,100,,,,,Entre 25 y 35 años,,3,1,Si,71500,Si,,,,,,,4,,,8,,,,,,,,
18,,53,,alicante,Si,,,,Terrazo,1966,,,Si,,Si,,,,Entre 35 y 50 Años,,2,1,Si,95000,Si,,,,,,,,Si,,,,,,,,,,
19,,76,,alicante,,1,,,Tarima normal,,,,,,,,,,Entre 35 y 50 Años,,2,1,,109900,Si,Perfecto Estado,Si,,,,,,,,,,,,,,,,
20,Si,60,,alicante,Si,,,,Terrazo,19769,Ladrillo,,Si,55,Si,,,Este,Más de 50 años,,2,1,,128000,Si,Perfecto Estado,,,,,,6,,,21,,,,,,,,1
21,,162,Gas Butano,alicante,Si,,,,Gres,1982,,,,120,,,,,Entre 35 y 50 Años,,3,1,,169000,,A reformar,,,Si,3,,,Si,,,Si,,,,,,,
22,Si,100,Central,alicante,,,Central,,Terrazo,1984,Cemento,,Si,99,,,,,Mas de 25 Años,,3,2,,170000,Si,Depende del precio,,,,,,4,,,2,,,,,,,,
23,Si,95,Individual,alicante,Si,,Eléctrica,1,Tarima Flotante,1977,Ladrillo,,Si,90,Si,Si,,Noroeste,Entre 35 y 50 Años,,3,1,,170000,Si,Perfecto Estado,Si,"35,00 €",,1,,6,Si,,12,,,,,,,,
24,,103,Individual,alicante,Si,3,Eléctrica,,Porcelánico,2008,Ladrillo,,Si,91,Si,Si,Si,Oeste,Entre 10 y 15 Años,,2,2,Si,175000,Si,Perfecto Estado,Si,,,2,,3,,,5,,,,,,,,
25,Si,115,,alicante,Si,1,,1,Terrazo,2007,Ladrillo,,Si,92,Si,Si,,,Entre 5 y 10 Años,,3,2,,210000,,Perfecto Estado,,,,,,,,,,,,,,,,,
26,,105,Placas Solares,alicante,Si,,Individual,1,,2009,Ladrillo,,Si,100,Si,,,Este,Entre 35 y 50 Años,,3,2,Si,230000,Si,Perfecto Estado,,,Si,3,,,Si,,,,,,,,,,
27,,160,,alicante,Si,,,,Baldosa,1950,Cemento,,,140,,,,Sur,Más de 50 años,,3,1,,275000,,A reformar,Si,,,,,1,,,,Si,,,,,,,
28,,264,,alicante,Si,,,,Tarima Flotante,,,,,122,,Si,,,,,3,2,,550000,Si,Perfecto Estado,Si,,,,,,Si,,,,,,,,,,
29,Si,85,,alicante,Si,,,1,Gres,1967,,,Si,85,,,,,Entre 35 y 50 Años,,3,1,Si,58000,Si,,Si,,,1,,,,,,,,,,,,,
30,,68,,alicante,Si,,,,Gres,,Ladrillo,,,,Si,,,,Más de 50 años,,3,1,,59500,Si,Perfecto Estado,,"23,00 €",,,,5,,,2,,,,,,,,
31,,72,,alicante,Si,,,,Gres,1970,,,Si,,Si,Si,,,Más de 50 años,,3,1,,85000,Si,Perfecto Estado,,,,2,,6,,,4,,,,,,,,
32,Si,99,,alicante,Si,,,,Gres,1983,Mono Capa,,Si,,Si,,,,Mas de 25 Años,,3,2,,98000,Si,A reformar,,,,2,,7,,,2,,,,,,,,
33,,75,Individual,alicante,Si,,Eléctrica,,Baldosa,1955,Cemento,Si,,74,Si,Si,,Sur,Más de 50 años,,3,1,,99000,Si,,,"25,00 €",,,,4,,,,,,,,,,,
34,Si,95,,alicante,Si,1,,,Gres,2009,Mono Capa,,Si,80,Si,Si,,,Entre 35 y 50 Años,,3,2,,110000,,Perfecto Estado,,,,3,,,,,5,,,,,,,,
35,,118,Gas Butano,alicante,Si,1,Eléctrica,,Tarima normal,1991,Ladrillo,,Si,97,,Si,,Oeste,Entre 25 y 35 años,,3,2,Si,129900,Si,Depende del precio,Si,"63,00 €",,2,,4,,,,,,,,,,,
36,,91,Individual,alicante,,1,Individual,,Porcelánico,1960,Cemento,,,81,Si,Si,,Sur,Más de 50 años,,3,1,,129900,,Perfecto Estado,Si,"20,00 €",,2,,2,,,2,,,,,,,,
37,,100,,alicante,Si,,,1,Terrazo,1977,Ladrillo,,Si,95,,,,,Entre 25 y 35 años,,2,2,Si,130000,Si,Perfecto Estado,,,Si,2,,,Si,,,,Si,,,,,,
38,,278,Placas Solares,alicante,Si,1,,2,Gres,1958,Ladrillo,,,244,Si,Si,Si,,Más de 50 años,Si,2,2,,139000,Si,Perfecto Estado,,,,4,Si,3,,Si,1,,,,,,,,
39,Si,148,Individual,alicante,,1,Individual,,Tarima normal,1976,Cemento,,Si,120,Si,,,Oeste,Entre 35 y 50 Años,,4,2,,A consultar,Si,Perfecto Estado,Si,,,4,,7,,,2,,,,,,,,
40,Si,72,Individual,alicante,,,Individual,,Gres,1972,Ladrillo,,Si,65,,,,Este,Entre 35 y 50 Años,,3,1,,A consultar,Si,Perfecto Estado,Si,,Si,,,,Si,,,,,Si,,,,,
41,Si,84,Individual,alicante,Si,1,,,Tarima Flotante,,Ladrillo,,Si,77,Si,,,Este,,,3,1,,A consultar,Si,Perfecto Estado,,"43,00 €",,3,,,,,,,,,,,,,
42,Si,100,,alicante,Si,1,,1,Marmol,,Ladrillo,,Si,90,Si,,,Sur,Entre 35 y 50 Años,Si,4,1,Si,A consultar,Si,Perfecto Estado,,,,2,,,,,,,,Si,,,,,
43,Si,85,Individual,alicante,Si,1,,,Gres,1993,Cemento,,Si,75,Si,Si,,,,Si,2,1,Si,A consultar,Si,Perfecto Estado,,,,2,Si,,,,,,,,,,,,
44,,75,Individual,alicante,Si,,,,Gres,,Cemento,,,65,Si,,,Oeste,Más de 50 años,,3,1,,A consultar,Si,,,,,1,,,,,,,,,,,,,
45,Si,50,Individual,alicante,Si,1,Individual,1,Gres,,Cemento,,Si,43,Si,Si,,Sureste,Más de 50 años,Si,1,1,Si,A consultar,Si,Perfecto Estado,,,,1,,,,,,,,,,,,,
46,,80,Individual,alicante,Si,1,Individual,,Baldosa,,Cemento,,,70,Si,,,Este,Entre 35 y 50 Años,,2,1,,A consultar,,A reformar,,,,,,,,,,,,,,,,,
47,,120,,alicante,,1,,1,Gres,1985,,,Si,100,,,Si,,Entre 35 y 50 Años,,4,2,,A consultar,,,,,,,,4,,,,,,,,,,,
48,,70,,alicante,Si,1,,,Gres,,Cemento,,,60,Si,Si,,Sur,Entre 25 y 35 años,Si,3,1,,A consultar,Si,Perfecto Estado,,,Si,3,,,,,,,,,,,,,
49,,108,,alicante,,,Central,,,1945,,,,,Si,Si,,Este,Más de 50 años,,2,1,Si,A consultar,,Perfecto Estado,,"30,00 €",,,,,,,,,,,,,,,
50,Si,90,Individual,alicante,Si,1,,,Terrazo,,Ladrillo,,Si,80,Si,,,Noreste,Entre 35 y 50 Años,,3,1,,A consultar,Si,A reformar,,,,,,,,,,,,,,,,,
51,Si,100,Individual,alicante,Si,1,Individual,,Terrazo,1975,Cemento,,Si,90,Si,,,Sur,Más de 50 años,,3,1,,A consultar,,A reformar,,,,1,Si,,,,,,,,,,,,
52,Si,58,Individual,alicante,Si,1,,,Porcelánico,1963,Cemento,,,50,Si,,,Oeste,Más de 50 años,,2,1,Si,55000,Si,Perfecto Estado,Si,"30,00 €",,,,2,,,2,,,,,,,,
53,,80,,alicante,Si,,,,Porcelánico,1996,Cemento,,,70,Si,Si,,,Entre 35 y 50 Años,,2,1,Si,57000,Si,,,,,2,,4,,,,,,,,,,,
54,,85,,alicante,,,,,Tarima Flotante,1969,Ladrillo,,,80,,,,Este,Más de 50 años,,3,1,,69000,,Perfecto Estado,,,,,,,,,,,,,,,,,
55,Si,56,,alicante,Si,,,,Parquet,1966,Cemento,,Si,54,Si,,,Este,Más de 50 años,,2,1,,73000,Si,Perfecto Estado,,,,,,6,,,4,,,,,,,,
56,,65,,alicante,,1,,,Tarima normal,1966,Ladrillo,,,59,,,,,Entre 35 y 50 Años,,2,1,,78000,Si,Perfecto Estado,Si,,,,,4,,,3,,,,,,,,
57,,96,Individual,alicante,Si,,,,Porcelánico,1982,Ladrillo,,Si,90,,Si,Si,,Entre 25 y 35 años,,2,2,Si,85000,Si,Depende del precio,,"35,00 €",,2,,4,,,6,,,,,,,,
58,,62,Individual,alicante,Si,1,,,Terrazo,1963,Cemento,,,55,Si,,,Este,Más de 50 años,,2,1,,85000,,Perfecto Estado,Si,,,2,,2,,,2,,,,,,,,
59,,91,Individual,alicante,,1,Eléctrica,,Baldosa,,Cemento,,,80,Si,Si,,Este,Más de 50 años,,3,1,Si,85000,Si,A reformar,Si,"26,00 €",,,,,,,,,,,,,,,
60,,68,Individual,alicante,Si,1,,,Tarima normal,1970,Cemento,,,68,Si,Si,,,Entre 35 y 50 Años,,3,1,,89000,Si,Perfecto Estado,,,,,,,,,,,,,,,,,
61,,65,Individual,alicante,Si,,Eléctrica,,Porcelánico,1970,Ladrillo,,,59,Si,Si,,Oeste,Más de 50 años,,3,1,,90000,Si,Perfecto Estado,Si,"30,00 €",,,,,,,,,,,,,,,
62,,96,Individual,alicante,Si,,,,Terrazo,1982,Ladrillo,,,90,Si,Si,,Oeste,Mas de 25 Años,,4,2,,108000,Si,Perfecto Estado,Si,"40,00 €",,,,3,,,3,,,,,,,,
63,Si,91,Individual,alicante,Si,1,Individual,,Gres,1988,Ladrillo,,Si,80,Si,Si,,Noroeste,Entre 25 y 35 años,,3,2,,110900,Si,Depende del precio,Si,"50,00 €",,3,,3,,,3,,,,,,,,
64,Si,96,,alicante,Si,1,,,Terrazo,1983,Ladrillo,,Si,,Si,,,,Entre 35 y 50 Años,,4,2,,120000,Si,,,,,3,,4,,,,,,,,,,,
65,Si,110,Individual,alicante,Si,1,Individual,,Terrazo,1978,Mono Capa,,Si,105,Si,,,Este,Entre 35 y 50 Años,Si,3,2,,133000,Si,Perfecto Estado,,,,,,5,Si,,5,,,,,,,,
66,,120,Individual,alicante,Si,2,,,Porcelánico,,Cemento,,,100,,,,Norte,Mas de 25 Años,,3,1,Si,139000,Si,Perfecto Estado,,,,,,,,,1,,,,,,,,
67,Si,100,,alicante,Si,,,,Gres,1984,Ladrillo,,Si,95,Si,,,,,,3,2,Si,149000,,Perfecto Estado,,,,3,,4,,,2,,,,,,,,
68,Si,120,Individual,alicante,Si,,Individual,1,Terrazo,1984,Ladrillo,,Si,115,Si,Si,,Este,Más de 50 años,,3,2,Si,180000,Si,Perfecto Estado,,,,2,,5,Si,,4,,,,,,,,
69,,55,,alicante,Si,,,,Terrazo,1971,Ladrillo,,,50,,,,Este,Más de 50 años,,2,1,,A consultar,,,,,,,,,Si,,,,,,,,,,
70,Si,85,,alicante,Si,1,,,Terrazo,1971,Ladrillo,,Si,80,,,,Este,Más de 50 años,,3,1,,A consultar,,,,,,3,,,,,,,,,,,,,
71,Si,84,,alicante,,,,,Terrazo,,,,Si,78,,,,Norte,Más de 50 años,,3,2,,A consultar,,A reformar,,,Si,3,,,Si,,,,,Si,,,,,
72,,93,Individual,alicante,,2,Individual,,Terrazo,1977,Ladrillo,,Si,92,,,,Este,Más de 50 años,,3,2,,A consultar,,A reformar,,"45,00 €",Si,3,,8,Si,,4,,,,,,,,
73,Si,40,,alicante,Si,,,,Gres,,Ladrillo,,Si,35,Si,Si,,Oeste,Entre 35 y 50 Años,,1,1,Si,A consultar,Si,Perfecto Estado,,,Si,,,,Si,,,,,Si,,,,,
74,Si,67,,alicante,Si,1,,,Gres,1961,Cemento,,,60,Si,,,,Más de 50 años,,3,1,,A consultar,Si,Perfecto Estado,,,,,,4,,,2,,,,,,,,
75,,70,Individual,alicante,Si,1,,,Terrazo,,Cemento,,,65,Si,,,,Más de 50 años,,2,1,,A consultar,,A reformar,,,,,,,,,,,,,,,,,
76,Si,90,Individual,alicante,Si,1,Individual,1,Baldosa,1979,Ladrillo,,Si,80,Si,Si,,Oeste,Entre 35 y 50 Años,Si,3,2,,A consultar,Si,,,"50,00 €",,,Si,,,,,,,,,,,,
77,,128,,alicante,Si,,,,,,,,Si,,,,Si,,,,4,2,Si,78000,Si,Perfecto Estado,,,,,,,,,,,,,,,,,
78,,84,Individual,alicante,,,Individual,,Gres,1960,Cemento,,,71,,,,Suroeste,Más de 50 años,,3,1,,150000,,Depende del precio,Si,,,2,,1,,,1,,,,,,,,
